transaction_id,date,product,quantity,revenue
4001,01-07-2024,3001,2,200
4002,01-07-2024,3002,1,180
4003,01-07-2024,3003,3,300
4004,01-07-2024,3004,1,90
4005,01-07-2024,3005,4,400
4006,01-07-2024,3006,2,200
4007,01-07-2024,3007,3,540
4008,01-07-2024,3008,2,200
4009,01-07-2024,3009,2,180
4010,01-07-2024,3010,1,100
4011,02-07-2024,3001,5,500
4012,02-07-2024,3002,1,180
4013,02-07-2024,3003,4,400
4014,02-07-2024,3004,3,270
4015,02-07-2024,3005,2,200
4016,02-07-2024,3006,1,100
4017,02-07-2024,3007,2,360
4018,02-07-2024,3008,1,100
4019,02-07-2024,3009,4,360
4020,02-07-2024,3010,5,500
4021,03-07-2024,3001,3,200
4022,03-07-2024,3002,2,180
4023,03-07-2024,3003,1,300
4024,03-07-2024,3004,2,90
4025,03-07-2024,3005,1,400
4026,03-07-2024,3006,4,200
4027,03-07-2024,3007,5,540
4028,03-07-2024,3008,2,200
4029,03-07-2024,3009,1,180
4030,03-07-2024,3010,3,100
4031,04-07-2024,3001,1,500
4032,04-07-2024,3002,4,180
4033,04-07-2024,3003,4,400
4034,04-07-2024,3004,6,1000